"GRIDCODE"	"Subbasin"	"region"
1	1	"Lower"
2	2	"Lower"
3	3	"Lower"
4	4	"Lower"
5	5	"Lower"
6	6	"Lower"
7	7	"Lower"
8	8	"Lower"
9	9	"Lower"
10	10	"Lower"
11	11	"Lower"
12	12	"Lower"
13	13	"Lower"
14	14	"Lower"
15	15	"Lower"
16	16	"Lower"
17	17	"Lower"
18	18	"Lower"
19	19	"Lower"
20	20	"Lower"
21	21	"Lower"
22	22	"Lower"
23	23	"Lower"
24	24	"Lower"
25	25	"Lower"
26	26	"Lower"
27	27	"Lower"
28	28	"Lower"
29	29	"Lower"
30	30	"Lower"
31	31	"Lower"
32	32	"Lower"
33	33	"Lower"
34	34	"Lower"
35	35	"Lower"
36	36	"Lower"
37	37	"Lower"
38	38	"Lower"
39	39	"Lower"
40	40	"Lower"
41	41	"Lower"
42	42	"Lower"
43	43	"Lower"
44	44	"Lower"
45	45	"Lower"
46	46	"Lower"
47	47	"Lower"
48	48	"Lower"
49	49	"Lower"
50	50	"Lower"
51	51	"Lower"
52	52	"Lower"
53	53	"Lower"
54	54	"Lower"
55	55	"Lower"
56	56	"Lower"
57	57	"Lower"
58	58	"Lower"
59	59	"Central (West)"
60	60	"Central (West)"
61	61	"Central (West)"
62	62	"Central (West)"
63	63	"Central (West)"
64	64	"Central (West)"
65	65	"Central (West)"
66	66	"Central (West)"
67	67	"Central (West)"
68	68	"Central (West)"
69	69	"Central (West)"
70	70	"Central (West)"
71	71	"Central (West)"
72	72	"Central (West)"
73	73	"Central (West)"
74	74	"Central (East)"
75	75	"Central (East)"
76	76	"Central (East)"
77	77	"Central (East)"
78	78	"Central (West)"
79	79	"Upper"
80	80	"Upper"
81	81	"Upper"
82	82	"Upper"
83	83	"Upper"
84	84	"Upper"
85	85	"Upper"
86	86	"Upper"
87	87	"Upper"
88	88	"Upper"
89	89	"Upper"
90	90	"Upper"
91	91	"Upper"
92	92	"Upper"
93	93	"Upper"
94	94	"Upper"
95	95	"Upper"
96	96	"Upper"
97	97	"Upper"
98	98	"Upper"
99	99	"Upper"
100	100	"Upper"
101	101	"Upper"
102	102	"Upper"
103	103	"Upper"
104	104	"Upper"
105	105	"Upper"
106	106	"Upper"
107	107	"Upper"
108	108	"Upper"
109	109	"Headwaters"
110	110	"Headwaters"
111	111	"Headwaters"
112	112	"Headwaters"
113	113	"Headwaters"
114	114	"Headwaters"
115	115	"Headwaters"
116	116	"Headwaters"
117	117	"Headwaters"
118	118	"Headwaters"
119	119	"Headwaters"
120	120	"Headwaters"
121	121	"Headwaters"
122	122	"Headwaters"
123	123	"Headwaters"
124	124	"Headwaters"
125	125	"Headwaters"
126	126	"Headwaters"
127	127	"Headwaters"
128	128	"Headwaters"
129	129	"Headwaters"
130	130	"Headwaters"
131	131	"Headwaters"
132	132	"Headwaters"
133	133	"Headwaters"
134	134	"Headwaters"
135	135	"Headwaters"
136	136	"Headwaters"
137	137	"Lower"
138	138	"Lower"
139	139	"Lower"
140	140	"Central (West)"
141	141	"Central (East)"
142	142	"Central (East)"
143	143	"Central (West)"
144	144	"Central (East)"
145	145	"Central (West)"
146	146	"Central (West)"
147	147	"Central (West)"
148	148	"Central (East)"
149	149	"Central (East)"
150	150	"Upper"
151	151	"Upper"
152	152	"Upper"
153	153	"Upper"
154	154	"Upper"
155	155	"Upper"
156	156	"Upper"
157	157	"Upper"
158	158	"Upper"
159	159	"Upper"
