"ID","cellCount","naCells","yr2008","yr2009","yr2010","yr2011","yr2012","ROTATION","ROTATION_CODE"
21301011,561,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21301012,588,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21301013,725,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21301014,724,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21301021,618,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21301024,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21301111,721,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21301121,727,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21301122,715,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21301123,721,0,"Pa","Pa","Pa","Pa","Co","Dairy Rotation",3
21301124,723,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21301131,720,0,"Pa","Pa","Al","Pa","Pa","Pasture/Hay/Grassland",7
21401011,726,0,"Pa","Co","Pa","So","Co","Cash Grain",1
21401012,676,0,"Pa","Pa","Pa","Co","Pa","Dairy Rotation",3
21401013,702,0,"Pa","Pa","Co","Co","Co","Dairy Rotation",3
21401014,705,0,"Pa","Co","Pa","Pa","Pa","Dairy Rotation",3
21401111,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21401114,702,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21401121,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21401122,702,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21401123,729,0,"Pa","Pa","Pa","Pa","Co","Dairy Rotation",3
21401124,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21401131,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21401132,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21401133,727,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21401134,745,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21401231,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21401234,713,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21401241,706,0,"Pa","Pa","Pa","Al","Pa","Pasture/Hay/Grassland",7
21401242,714,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21401243,702,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21401244,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21401251,721,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21401252,676,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21401253,728,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21401254,697,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21401261,718,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21401264,703,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21401351,695,0,"Pa","So","Co","Co","Co","Cash Grain",1
21401354,714,0,"Pa","Co","Co","Co","Pa","Dairy Rotation",3
21401361,702,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21401362,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21401363,713,0,"Pa","Pa","Co","Pa","Pa","Dairy Rotation",3
21401364,727,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21501011,709,0,"Pa","Pa","Pa","Co","Co","Dairy Rotation",3
21501012,713,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21501013,711,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21501014,709,0,"Pa","Pa","Pa","Al","Pa","Pasture/Hay/Grassland",7
21501121,717,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21501122,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21501123,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21501124,725,0,"Pa","Pa","Pa","Co","Co","Dairy Rotation",3
21501131,738,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21501134,741,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21501251,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21501253,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21501254,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21501361,729,0,"Pa","Pa","Pa","Co","Co","Dairy Rotation",3
21501362,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21501363,719,0,"Pa","Co","Pa","Co","Co","Dairy Rotation",3
21501364,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21601011,702,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21601012,695,0,"Soybeans;Pasture","Co","Co","Co","Co","Continuous Corn",2
21601013,731,0,"Pa","Pa","Pa","Co","Co","Dairy Rotation",3
21601014,747,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21601032,675,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21601041,675,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21601042,650,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21601043,720,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21601044,729,0,"Pa","Pa","Pa","Pa","Co","Dairy Rotation",3
21601051,675,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21601052,675,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21601053,729,0,"Pa","Pa","Pa","Co","Co","Dairy Rotation",3
21601054,711,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21601061,666,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21601062,555,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21601063,567,0,"Pa","Pa","Al","Co","Co","Dairy Rotation",3
21601064,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21601071,729,0,"Pa","Pa","Pa","Pa","Co","Dairy Rotation",3
21601072,567,0,"Pa","Pa","Pa","Pa","Co","Dairy Rotation",3
21601121,732,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21601124,722,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21601131,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21601132,725,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21601133,709,0,"Pa","Pa","Pa","Pa","Co","Dairy Rotation",3
21601134,726,0,"Pa","Pa","Pa","Pa","Co","Dairy Rotation",3
21602011,688,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21602012,690,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21602013,701,0,"Pa","Pa","Pa","Pa","Co","Dairy Rotation",3
21602014,711,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21602021,689,0,"Pa","Pa","Co","Co","Co","Dairy Rotation",3
21602022,675,0,"Pa","Pa","Pa","Co","Pa","Dairy Rotation",3
21602024,714,0,"Pa","Pa","Al","Co","Co","Dairy Rotation",3
21602121,735,0,"Pa","Pa","Pa","Al","Al","Pasture/Hay/Grassland",7
21701011,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701012,690,0,"Pa","Pa","Co","So","Co","Cash Grain",1
21701013,728,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701014,724,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701021,696,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701022,702,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701023,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701024,711,0,"Pa","Pa","Pa","Al","Al","Pasture/Hay/Grassland",7
21701031,690,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701032,688,0,"Pa","Pa","Pa","Al","Al","Pasture/Hay/Grassland",7
21701033,727,0,"Pa","Pa","Pa","Co","Pa","Dairy Rotation",3
21701034,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701041,702,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701042,688,0,"","","","","","No Agriculture",6
21701043,724,0,"","","","","","No Agriculture",6
21701044,721,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701051,669,0,"","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701052,672,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701053,718,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701054,716,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701061,677,0,"Pa","Pa","Pa","Pa","Co","Dairy Rotation",3
21701062,559,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701063,541,0,"Co","Co","Co","Co","Co","Continuous Corn",2
21701064,720,0,"So","Co","Co","Co","Co","Cash Grain",1
21701071,729,0,"Co","Co","Co","Al","Al","Dairy Rotation",3
21701072,537,0,"Co","Co","Co","Co","Co","Continuous Corn",2
21701073,536,0,"Pa","Pa","Pa","Co","Co","Dairy Rotation",3
21701074,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701081,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701082,709,0,"Pa","Co","Pa","Co","Pa","Dairy Rotation",3
21701083,702,0,"Pa","Pa","Co","Co","Pa","Dairy Rotation",3
21701084,743,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
21701091,729,0,"Pa","Pa","Pa","Pa","Pa","Pasture/Hay/Grassland",7
