#
#
# US Geological Survey
# retrieved: 2014-08-22 13:51:14 EDT
# URL: http://nwis.waterdata.usgs.gov/nwis/dv
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  site_tp_cd      -- Site type
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#  drain_area_va   -- Drainage area
#
#
# query started 2014-08-22 13:51:14 EDT
#
# there are 598 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm	site_tp_cd	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	drain_area_va
5s	15s	50s	7s	16n	16n	1s	10s	8s
USGS	04024081	LAKE SUPERIOR TRIBUTARY AT SUPERIOR, WI	ST	46.72160670	-92.06741250	S	NAD83	4.9
USGS	04024314	LITTLE BALSAM CREEK AT PATZAU, WI	ST	46.49521895	-92.22991690	S	NAD83	5.00
USGS	04024315	LITTLE BALSAM CREEK NEAR PATZAU, WI	ST	46.50355229	-92.23491700	S	NAD83	4.57
USGS	04024318	LITTLE BALSAM CREEK TRIBUTARY NEAR PATZAU, WI	ST	46.50327450	-92.23852820	S	NAD83	0.64
USGS	04024320	LITTLE BALSAM CREEK NEAR FOXBORO, WI	ST	46.50910786	-92.23408360	S	NAD83	6.27
USGS	04024430	NEMADJI RIVER NEAR SOUTH SUPERIOR, WI	ST	46.63333330	-92.09388890	S	NAD83	420
USGS	040244533	UNDEVELOPED URBAN SITE AT SUPERIOR, WI	ST	46.67910690	-92.07352400	S	NAD83	
USGS	040244534	GOLF COURSE SITE AT SUPERIOR, WI	ST	46.67799579	-92.07269070	S	NAD83	
USGS	04025000	AMNICON RIVER NEAR POPLAR, WI	ST	46.60410659	-91.88907800	F	NAD83	113.00
USGS	04025500	BOIS BRULE RIVER AT BRULE, WI	ST	46.53777778	-91.59527780	S	NAD83	118
USGS	04026000	BOIS BRULE RIVER NEAR BRULE, WI	ST	46.61382846	-91.58352110	T	NAD83	153.00
USGS	04026190	SAND RIVER NEAR RED CLIFF, WI	ST	46.89993138	-90.95574400	S	NAD83	27.4
USGS	04026300	SIOUX RIVER NEAR WASHBURN, WI	ST	46.68882717	-90.95074090	S	NAD83	33.9
USGS	040263205	WHITTLESEY CREEK NEAR ASHLAND, WI	ST	46.59438708	-90.96324370	S	NAD83	37.6
USGS	04026347	PINE CREEK AT MOQUAH, WI	ST	46.55772149	-91.10519030	S	NAD83	5.90
USGS	04026348	PINE CREEK TRIBUTARY AT MOQUAH, WI	ST	46.57410990	-91.06102290	S	NAD83	0.57
USGS	04026349	PINE CREEK NEAR MOQUAH, WI	ST	46.54911098	-91.06324590	S	NAD83	21.50
USGS	040263491	NORTH FISH CREEK NEAR MOQUAH, WI	ST	46.54888889	-91.06194440	S	NAD83	65.4
